epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.5596,0.6673,1.5005,1.2139
2.0,0.6805,0.7077,1.1005,0.9979
3.0,0.7084,0.728,0.9495,0.8955
4.0,0.7307,0.7431,0.8661,0.8319
5.0,0.7444,0.7548,0.8085,0.7742
6.0,0.7559,0.7699,0.764,0.7327
7.0,0.7648,0.7735,0.728,0.703
8.0,0.7729,0.785,0.6955,0.6719
9.0,0.7831,0.7954,0.6684,0.644
10.0,0.7905,0.7967,0.6418,0.6199
11.0,0.7984,0.8018,0.6182,0.6089
12.0,0.8082,0.8118,0.5964,0.5747
13.0,0.8148,0.8138,0.5752,0.5675
14.0,0.8218,0.8233,0.5566,0.5377
15.0,0.8248,0.8338,0.5404,0.5156
16.0,0.8314,0.838,0.5234,0.506
17.0,0.8391,0.8442,0.5046,0.4878
18.0,0.8395,0.8472,0.4933,0.482
19.0,0.851,0.8512,0.4759,0.4643
20.0,0.8536,0.8616,0.4619,0.4429
21.0,0.8619,0.8653,0.4463,0.4268
22.0,0.8621,0.874,0.4387,0.4215
23.0,0.8668,0.8712,0.4239,0.404
24.0,0.8655,0.8691,0.4138,0.4059
25.0,0.8693,0.8763,0.4048,0.3867
26.0,0.8755,0.8619,0.3924,0.4062
27.0,0.8806,0.8819,0.3808,0.3782
28.0,0.8817,0.89,0.3738,0.3614
29.0,0.8874,0.897,0.3646,0.3367
30.0,0.8904,0.8891,0.3515,0.3447
31.0,0.8885,0.9059,0.3439,0.3286
32.0,0.8953,0.8876,0.334,0.3408
33.0,0.8961,0.9025,0.3243,0.3271
34.0,0.8989,0.9074,0.3197,0.3065
35.0,0.9038,0.8861,0.3131,0.3337
36.0,0.9072,0.9193,0.3022,0.2796
37.0,0.9093,0.9208,0.2963,0.2746
38.0,0.9119,0.9242,0.292,0.2745
39.0,0.914,0.9219,0.2823,0.2621
40.0,0.9202,0.9351,0.2711,0.2458
41.0,0.917,0.9268,0.2712,0.2483
42.0,0.9206,0.9253,0.2597,0.2465
43.0,0.9219,0.9117,0.2575,0.2778
44.0,0.9274,0.9351,0.2446,0.2272
45.0,0.9281,0.9304,0.2436,0.247
46.0,0.9298,0.9453,0.238,0.2091
47.0,0.9325,0.9202,0.2354,0.2687
48.0,0.9323,0.9432,0.2247,0.1997
49.0,0.9351,0.9519,0.2206,0.1917
50.0,0.9372,0.9381,0.2141,0.2054
