epoch,accuracy,val_accuracy,loss,val_loss,iou_metric,val_iou_metric
01,0.7751,0.7909,1.0758,1.1989,0.325,0.282
02,0.852,0.6718,0.7252,1.2253,0.5702,0.44
03,0.8755,0.8624,0.5934,1.0371,0.6315,0.6102
04,0.8814,0.8399,0.5683,0.9486,0.6342,0.6096
05,0.8854,0.8916,0.5456,0.611,0.6501,0.6421
06,0.8905,0.9036,0.5263,0.5443,0.6585,0.6929
07,0.8927,0.8996,0.5151,0.5034,0.6675,0.6654
08,0.8965,0.879,0.4925,0.6323,0.6787,0.5701
09,0.8978,0.8859,0.4888,0.5454,0.6839,0.6848
10,0.8991,0.8986,0.4834,0.5252,0.6877,0.6472
11,0.8984,0.9195,0.4863,0.4015,0.688,0.7339
12,0.9046,0.8736,0.4578,0.5397,0.7004,0.6637
13,0.9049,0.9122,0.4529,0.4461,0.7066,0.7018
14,0.9034,0.9184,0.4601,0.4095,0.7012,0.7368
15,0.9097,0.9189,0.437,0.4219,0.7157,0.7245
16,0.9107,0.8329,0.4279,0.6721,0.7192,0.6114
17,0.9129,0.9215,0.4217,0.39,0.7305,0.7374
18,0.9137,0.9266,0.4153,0.3608,0.7272,0.7636
19,0.912,0.9281,0.4188,0.3585,0.7273,0.7621
20,0.915,0.8448,0.4087,0.6586,0.7301,0.6237
21,0.9165,0.9221,0.403,0.3659,0.7372,0.761
22,0.9171,0.9278,0.4008,0.3611,0.7362,0.7576
23,0.9205,0.9223,0.3853,0.414,0.7459,0.7303
24,0.9218,0.9262,0.3799,0.3549,0.7495,0.7667
25,0.9208,0.9128,0.3846,0.4522,0.7472,0.6925
26,0.9264,0.9419,0.3586,0.2895,0.7601,0.8073
27,0.924,0.9387,0.3682,0.2997,0.7581,0.8023
28,0.9275,0.9358,0.3519,0.3296,0.7678,0.782
29,0.9273,0.9345,0.3568,0.3099,0.7669,0.7923
30,0.9289,0.9157,0.3458,0.4517,0.7695,0.7019
31,0.9293,0.9314,0.3451,0.3383,0.7741,0.7861
32,0.9313,0.9384,0.3333,0.3048,0.7769,0.7898
33,0.9332,0.9509,0.3345,0.2748,0.7792,0.8362
34,0.9356,0.9465,0.3232,0.2726,0.7868,0.82
35,0.9373,0.9494,0.3142,0.2567,0.7938,0.826
36,0.9379,0.9496,0.3091,0.2515,0.7945,0.8289
37,0.9376,0.9402,0.3079,0.3002,0.7939,0.7888
38,0.9428,0.9253,0.2861,0.3532,0.809,0.7773
39,0.939,0.9439,0.3053,0.273,0.7952,0.8176
40,0.9445,0.9384,0.2779,0.3184,0.8151,0.7852
41,0.944,0.9452,0.2777,0.2716,0.8115,0.8073
42,0.9434,0.9572,0.2825,0.2201,0.811,0.8499
43,0.9478,0.9567,0.2656,0.2173,0.8213,0.8521
44,0.9485,0.9596,0.2611,0.2038,0.8257,0.8602
45,0.9468,0.9597,0.2687,0.206,0.8187,0.8572
46,0.9489,0.9551,0.2596,0.2281,0.8247,0.84
47,0.9484,0.9638,0.2617,0.184,0.8246,0.8731
48,0.9535,0.9573,0.2365,0.2176,0.842,0.8474
49,0.952,0.9554,0.2407,0.2271,0.8367,0.8426
50,0.9522,0.9586,0.2432,0.2112,0.837,0.8532
51,0.954,0.9679,0.233,0.165,0.8449,0.886
52,0.9572,0.9644,0.219,0.184,0.8514,0.8797
53,0.956,0.9391,0.2214,0.3272,0.8505,0.7852
54,0.9576,0.9455,0.215,0.2816,0.8557,0.8071
55,0.9591,0.9736,0.2082,0.1437,0.86,0.907
56,0.9593,0.9561,0.2082,0.214,0.8577,0.855
57,0.9608,0.9711,0.1985,0.1496,0.8648,0.8971
58,0.9618,0.9667,0.1949,0.1742,0.8685,0.8835
59,0.9622,0.9715,0.1904,0.1468,0.8703,0.8992
60,0.9605,0.964,0.1995,0.1823,0.8656,0.8695
61,0.9627,0.9718,0.1906,0.1479,0.8702,0.9016
62,0.964,0.9722,0.183,0.1457,0.8743,0.9019
63,0.9661,0.9737,0.172,0.1336,0.8824,0.9038
64,0.9629,0.9718,0.1876,0.1462,0.8721,0.8982
65,0.9678,0.9667,0.1661,0.1687,0.8854,0.8829
66,0.966,0.9434,0.1724,0.3015,0.8818,0.7945
67,0.9686,0.9065,0.1597,0.5323,0.8887,0.6595
68,0.9667,0.9722,0.1696,0.1383,0.8833,0.9029
69,0.97,0.9765,0.1533,0.1197,0.8945,0.9132
70,0.9682,0.9758,0.1611,0.122,0.8893,0.911
71,0.9705,0.9662,0.1525,0.1685,0.8929,0.8739
72,0.9701,0.9706,0.1504,0.1578,0.8954,0.8991
73,0.9715,0.9764,0.144,0.1218,0.8997,0.9153
74,0.9718,0.9664,0.1429,0.1702,0.9008,0.8815
75,0.9701,0.9704,0.1528,0.1537,0.8944,0.8966
76,0.9719,0.9798,0.1459,0.104,0.9003,0.926
77,0.9722,0.9765,0.1402,0.1191,0.9017,0.914
78,0.9725,0.9775,0.1387,0.1189,0.903,0.92
79,0.9738,0.9659,0.1318,0.1759,0.9073,0.8743
80,0.9747,0.9764,0.1294,0.1196,0.9089,0.9167
81,0.9741,0.9794,0.1304,0.1041,0.9089,0.9235
82,0.972,0.9806,0.1413,0.0998,0.9057,0.9282
83,0.9769,0.9712,0.1162,0.147,0.9176,0.894
84,0.9747,0.9814,0.127,0.0956,0.9099,0.9309
85,0.9756,0.9658,0.1226,0.1731,0.9135,0.8824
86,0.9762,0.9195,0.1206,0.4148,0.9139,0.7597
87,0.9742,0.9572,0.1306,0.2432,0.9108,0.8467
88,0.9773,0.9701,0.1139,0.1575,0.919,0.8916
89,0.9752,0.9813,0.1244,0.0935,0.9122,0.93
90,0.9785,0.9745,0.1088,0.1294,0.9227,0.91
91,0.9773,0.9765,0.1136,0.117,0.9192,0.9126
92,0.9768,0.9807,0.1168,0.0977,0.9164,0.9281
93,0.9792,0.9829,0.1043,0.0866,0.9258,0.9363
94,0.9786,0.9796,0.1062,0.1023,0.9254,0.9249
95,0.9784,0.9752,0.1083,0.1264,0.9239,0.9103
96,0.9787,0.9797,0.1061,0.1035,0.9243,0.9279
97,0.9803,0.9606,0.0975,0.1978,0.9295,0.8559
98,0.9795,0.9712,0.1019,0.1471,0.9271,0.8905
99,0.9794,0.9825,0.1036,0.0894,0.925,0.9365
100,0.9808,0.9829,0.0957,0.087,0.9308,0.9363
